,역이름,위도,경도,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원
476,제기동역,37.5781644906615,127.034935905941,340,4,4614,1979,8276,8495,21378,18388,30394,41199,21507,35867,24680,38524,33302,42149,38489,40384,40591,41322,42506,44080,44157,38746,40551,29726,39830,24626,37710,25796,17185,17802,10653,11304,9189,9670,7322,11387,2038,4462,9,355,0,0,0,0,0,0
477,종각역,37.5702216815202,126.983133839231,137,0,2075,4407,2943,22272,5344,96690,8178,214460,10244,123990,13860,50557,21921,42624,25896,37417,32201,39635,38994,32540,48817,27789,57355,28063,111891,32017,185999,38854,79174,18640,64407,6961,81655,4585,62774,3555,6340,1341,14,133,3,2,0,0,0,0
478,종로3가역,37.5704208439207,126.992144196794,143,25,3056,3179,2944,11751,4731,25513,7446,70038,10438,71795,17597,56584,29008,54924,36150,52780,44046,53048,47639,48562,53979,39634,58928,34289,69772,30892,95513,32492,57270,15733,40977,6094,48780,4650,43294,4657,5299,2093,16,384,0,0,0,0,0,0
479,종로3가역,37.5704208439207,126.992144196794,115,4,1672,3522,2458,16116,4665,40606,7265,104235,10549,60934,17689,48990,25749,47244,32376,45336,38726,41843,45308,41079,49407,34727,55193,28438,69705,23791,99780,20927,47876,11152,29853,5115,27703,3876,18766,3602,3084,1735,9,222,0,0,0,0,0,0
480,종로3가역,37.5704208439207,126.992144196794,13,0,491,893,1193,5651,1560,15255,1875,45552,3256,45061,4926,28748,7581,21916,8922,20810,10211,19295,12370,18702,15424,16216,17939,14097,28060,14329,50226,14275,32820,7153,16457,2695,19991,1906,15137,1933,2271,1065,2,111,1,2,0,0,0,0
481,종로3가역,37.5704208439207,126.992144196794,16,1,784,467,1851,5492,2726,14666,3799,40458,3755,32253,5160,24191,8855,24826,11871,24653,14697,25395,17570,22730,20739,20072,26713,19923,36251,21268,52328,26425,30269,13149,26338,4905,35963,3022,26583,3150,2709,1273,1,109,0,0,0,0,0,0
490,종합운동장역,37.5111302556967,127.07383586044,6,1,1485,844,5659,6258,16048,12564,22349,22668,15707,10533,9663,8733,8573,7138,9471,9404,9013,12016,8531,9630,11080,11434,14253,13658,17328,20690,17109,32017,8464,17226,8247,9412,15801,9715,11998,12175,1318,3679,4,274,0,0,0,1,0,0
491,종합운동장역,37.5111302556967,127.07383586044,0,0,1138,254,3331,2087,8933,4962,9897,10686,6549,7286,4405,4009,4637,3682,5230,4165,5370,4813,5086,4713,5396,5113,6568,5751,8987,9080,11742,13867,6639,9587,4886,5458,5652,4710,5551,5473,839,1985,1,10,0,1,0,0,0,0
494,중계역,37.6450777073231,127.064110346569,14,0,8594,1905,23082,4296,61886,15491,62337,24639,32139,11991,21296,8970,18962,9358,18936,12688,17798,14166,14840,13688,16452,15958,20961,18117,18207,26441,16931,44039,8800,44697,5726,24885,7321,21283,5104,23041,1363,11663,2,661,0,1,0,0,0,0
495,중곡역,37.5658680402426,127.084257974673,10,0,5406,534,12400,4426,31287,11052,46368,18674,25669,9215,14885,8156,12799,7557,13104,8078,12068,9214,11065,10026,11271,12867,16157,14535,15282,19314,13444,31191,9090,27489,5699,16198,4817,14405,4162,15898,1109,7130,7,136,0,0,0,0,0,0
