,gid,2030val,layer,geometry
81,ㅼ궗592449,21.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0383958311235 37.50246631571623, 127.0383902818724 37.50336765261159, 127.0395216447461 37.50337206828343, 127.0395271803977 37.50247073124513, 127.0383958311235 37.50246631571623)))"
82,ㅼ궗606450,112.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0542293843219 37.50342848602827, 127.0542240252265 37.50432982475411, 127.0553554050974 37.50433408887309, 127.0553607505925 37.50343275000924, 127.0542293843219 37.50342848602827)))"
83,ㅼ궗584455,232.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0293110938168 37.50783861379499, 127.0293054342575 37.5087399487027, 127.0304368767461 37.50874445192883, 127.0304425227024 37.50784311687538, 127.0293110938168 37.50783861379499)))"
84,ㅼ궗590465,59.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0360438803013 37.51687882125917, 127.0360382998755 37.51778015565014, 127.0371698799287 37.51778459529043, 127.0371754467453 37.51688326075576, 127.0360438803013 37.51687882125917)))"
85,ㅼ궗615463,43.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0643435940808 37.51518388040835, 127.0643383543552 37.51608521856308, 127.0654699132076 37.51608938691609, 127.0654751393248 37.51518804862646, 127.0643435940808 37.51518388040835)))"
86,ㅼ궗579463,6.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0236081254425 37.5150266053507, 127.0236023958267 37.51592793841535, 127.0247339458947 37.5159324970068, 127.0247396619026 37.51503116379463, 127.0236081254425 37.5150266053507)))"
87,ㅼ궗589439,167.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0350576715906 37.49343963185454, 127.0350520840303 37.49434096970485, 127.036183310193 37.49434541644209, 127.0361888841598 37.49344407844785, 127.0350576715906 37.49343963185454)))"
88,ㅼ궗600476,38.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0472996548208 37.52683741472278, 127.0472942078192 37.52773874901042, 127.0484259400674 37.52774308178635, 127.048431373453 37.52684174735849, 127.0472996548208 37.52683741472278)))"
89,ㅼ궗603422,141.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.050986386429 37.47817810016018, 127.050980993263 37.47907944234856, 127.0521119918375 37.47908373508123, 127.0521173714202 37.47818239275387, 127.050986386429 37.47817810016018)))"
90,ㅼ궗595453,205.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0417678444028 37.50608487825988, 127.0417623349688 37.50698621502869, 127.0428937529847 37.50699059876297, 127.0428992488168 37.50608926185228, 127.0417678444028 37.50608487825988)))"
