,gid,geometry
5129,ㅼ궗639425,MULTIPOINT (127.0922602945 37.48125031276829)
5130,ㅼ궗639425,MULTIPOINT (127.0922602945 37.48125031276829)
5131,ㅼ궗639425,MULTIPOINT (127.0923611617387 37.48136968715816)
5132,ㅼ궗641425,MULTIPOINT (127.094007887278 37.48178672794961)
5133,ㅼ궗641425,MULTIPOINT (127.094007887278 37.48178672794961)
5134,ㅼ궗641426,MULTIPOINT (127.0944969692687 37.48247343004143)
5135,ㅼ궗641426,MULTIPOINT (127.0944969692687 37.48247343004143)
5136,ㅼ궗641426,MULTIPOINT (127.0945205143217 37.48258854028006)
5137,ㅼ궗641427,MULTIPOINT (127.0944925975056 37.48371456738257)
5138,ㅼ궗641427,MULTIPOINT (127.0944925975056 37.48371456738257)
5139,ㅼ궗612395,MULTIPOINT (127.0617467888664 37.45440483547481)
5140,ㅼ궗612395,MULTIPOINT (127.0617467888664 37.45440483547481)
5141,ㅼ궗613396,MULTIPOINT (127.0634562406172 37.45540891574143)
5142,ㅼ궗610398,MULTIPOINT (127.0593941513911 37.45704427635518)
5143,ㅼ궗607387,MULTIPOINT (127.056274915235 37.44693413535706)
5144,ㅼ궗607387,MULTIPOINT (127.056274915235 37.44693413535706)
5145,ㅼ궗606389,MULTIPOINT (127.0556542729999 37.44878221484908)
5146,ㅼ궗607386,MULTIPOINT (127.056744948143 37.44649545121958)
5147,ㅼ궗607386,MULTIPOINT (127.056744948143 37.44649545121958)
5148,ㅼ궗608387,MULTIPOINT (127.056877632032 37.44741737168901)
5149,ㅼ궗608387,MULTIPOINT (127.056877632032 37.44741737168901)
5150,ㅼ궗606390,MULTIPOINT (127.0547379307072 37.44936764923037)
5151,ㅼ궗606390,MULTIPOINT (127.0547379307072 37.44936764923037)
5152,ㅼ궗606390,MULTIPOINT (127.0547379307072 37.44936764923037)
5153,ㅼ궗610397,MULTIPOINT (127.0590502943488 37.45608870066422)
5154,ㅼ궗610397,MULTIPOINT (127.0590502943488 37.45608870066422)
5155,ㅼ궗610396,MULTIPOINT (127.0596231292637 37.45524787898238)
5156,ㅼ궗610396,MULTIPOINT (127.0596231292637 37.45524787898238)
5157,ㅼ궗605391,MULTIPOINT (127.0539377527857 37.45029571011863)
5158,ㅼ궗605391,MULTIPOINT (127.0539377527857 37.45029571011863)
5159,ㅼ궗608391,MULTIPOINT (127.0579290008726 37.45033240048634)
5160,ㅼ궗608391,MULTIPOINT (127.0579290008726 37.45033240048634)
5161,ㅼ궗608387,MULTIPOINT (127.0568897744765 37.44733736956253)
5162,ㅼ궗593438,MULTIPOINT (127.040667089855 37.4925803901513)
5163,ㅼ궗602395,MULTIPOINT (127.050792539758 37.45424958572882)
5164,ㅼ궗577472,MULTIPOINT (127.0222854965529 37.52394210782669)
5165,ㅼ궗599429,MULTIPOINT (127.0465011811823 37.48491089427321)
5166,ㅼ궗618444,MULTIPOINT (127.0687901294149 37.4981236293787)
5167,ㅼ궗618444,MULTIPOINT (127.0687901294149 37.4981236293787)
5168,ㅼ궗596425,MULTIPOINT (127.0441440895225 37.48096570477357)
5169,ㅼ궗596425,MULTIPOINT (127.0441440895225 37.48096570477357)
5170,ㅼ궗647407,MULTIPOINT (127.1017206859215 37.46503025071077)
5171,ㅼ궗647407,MULTIPOINT (127.1017206859215 37.46503025071077)
5172,ㅼ궗581475,MULTIPOINT (127.0262612461931 37.52597924372359)
5173,ㅼ궗604390,MULTIPOINT (127.0534024765091 37.44979415240793)
5174,ㅼ궗604390,MULTIPOINT (127.0534024765091 37.44979415240793)
5175,ㅼ궗615396,MULTIPOINT (127.0650285678276 37.45551109664608)
5176,ㅼ궗615396,MULTIPOINT (127.0650285678276 37.45551109664608)
5177,ㅼ궗606389,MULTIPOINT (127.0553511891914 37.44873262977287)
5178,ㅼ궗599453,MULTIPOINT (127.0473230917226 37.50678136582668)
