gid,pre,acci_cnt
다사603414,-5.842987161,0
다사602423,-5.843472706,0
다사547423,-5.844202844,0
다사582409,-5.844468562,0
다사543430,-5.844739098,0
다사652418,-5.844740108,0
다사572399,-5.845180534,0
다사594434,-5.845602339,0
다사599440,-5.84832987,0
다사571399,-5.848635399,0
다사606473,-5.848964027,0
다사587446,-5.849204362,0
다사651413,-5.849351673,0
다사636435,-5.850281263,0
다사604435,-5.850546981,0
다사582427,-5.852712631,0
다사583410,-5.854459749,0
다사605401,-5.855143999,0
다사575435,-5.860717546,0
다사630436,-5.860924149,0
다사552417,-5.861082944,0
다사545445,-5.861753852,0
다사567458,-5.862715011,0
다사582479,-5.864258381,0
다사565428,-5.864723892,0
다사578427,-5.866085153,0
다사608461,-5.86635087,0
다사553424,-5.866605962,0
다사630402,-5.867400309,0
다사578432,-5.867603657,0
다사603465,-5.86889582,0
다사590427,-5.86955723,0
다사643435,-5.869997921,0
다사584413,-5.870357715,0
다사588453,-5.872351443,0
다사571451,-5.873041508,0
다사617431,-5.877238655,0
다사596448,-5.877604489,0
다사632425,-5.879457674,0
다사633425,-5.880684551,0
다사598431,-5.880833548,0
다사664409,-5.881889042,0
다사584415,-5.886228536,0
다사629439,-5.888233178,0
다사649428,-5.890664546,0
다사639412,-5.892830196,0
다사602403,-5.893813272,0
다사630405,-5.89404588,0
다사546411,-5.89404588,0
다사551439,-5.89511162,0
다사587417,-5.895671321,0
다사542428,-5.896414039,0
다사618397,-5.896703338,0
다사569399,-5.897078498,0
다사621398,-5.897692931,0
다사628400,-5.897692931,0
다사569425,-5.897708285,0
다사644430,-5.900024343,0
다사583433,-5.90425386,0
다사597439,-5.904431735,0
다사614396,-5.905292403,0
다사556440,-5.912546854,0
다사581456,-5.915457445,0
다사587456,-5.918178359,0
다사604395,-5.919840957,0
다사586469,-5.920592724,0
다사589403,-5.922872013,0
다사546421,-5.922932818,0
다사574443,-5.924189403,0
다사579407,-5.924703692,0
다사587475,-5.92486638,0
다사651419,-5.93035193,0
다사577409,-5.931784242,0
다사574397,-5.931812578,0
다사612470,-5.932263512,0
다사597405,-5.933230183,0
다사582477,-5.935910563,0
다사548432,-5.93925565,0
다사547409,-5.940649826,0
다사603430,-5.940773298,0
다사641415,-5.941873155,0
다사559419,-5.941950332,0
다사621399,-5.942191946,0
다사632440,-5.943628323,0
다사609469,-5.944787377,0
다사644433,-5.945370316,0
다사601470,-5.948546382,0
다사546435,-5.950182722,0
다사585469,-5.954356688,0
다사662409,-5.955876005,0
다사606458,-5.95793795,0
다사615429,-5.959655932,0
다사583460,-5.959730974,0
다사555433,-5.962172047,0
다사605438,-5.962389889,0
다사583461,-5.963245347,0
다사621436,-5.96387129,0
다사597476,-5.968363287,0
다사591444,-5.969573406,0
다사638436,-5.972115359,0
다사596426,-5.97224987,0
다사581414,-5.972605902,0
다사609383,-5.973671673,0
다사588404,-5.97431051,0
다사628425,-5.974361308,0
다사600427,-5.974812444,0
다사548440,-5.975763961,0
다사599401,-5.976003195,0
다사560449,-5.976028128,0
다사561432,-5.978074343,0
다사599427,-5.979157691,0
다사542443,-5.979675179,0
다사584430,-5.980935814,0
다사577448,-5.983480641,0
다사594407,-5.984272197,0
다사594406,-5.984272197,0
다사607389,-5.984741744,0
