gid,acci_cnt,2030val,신호등,버스저녁하차,생활서비스,소매점,음식점,퇴근시간자전거
다사576442,0,0,3,0,3,0,6,73
다사635438,0,0,1,0,0,0,0,73
다사600416,0,88,5,0,1,0,9,74
다사631427,0,77,3,0,8,12,5,74
다사603444,0,58,6,0,1,2,4,74
다사626440,0,197,1,0,0,0,0,75
다사626439,0,0,2,0,7,3,12,75
다사627440,0,0,3,0,0,0,0,75
다사581444,1,0,1,0,6,7,23,76
다사630433,0,0,7,0,0,0,0,76
다사546423,0,55,3,0,0,0,0,77
다사580407,0,0,16,3476.041667,0,0,0,77
다사608391,0,91,8,0,2,2,1,78
다사609391,0,0,1,0,0,0,0,78
다사593456,0,39,4,1261.75,1,0,8,79
다사593454,0,11,4,356.0416667,1,5,6,79
다사598403,0,0,4,0,0,0,0,79
다사572428,0,0,3,0,0,0,0,79
다사591403,0,0,1,0,0,0,0,79
다사576401,0,0,1,0,0,0,0,79
다사556441,0,44,2,1262.666667,2,2,7,80
다사552432,0,0,9,0,2,2,5,80
다사646415,0,0,11,0,0,1,0,80
다사587435,0,46,4,2144.345833,6,7,15,81
다사588435,0,0,4,0,1,9,5,81
다사599415,0,92,2,0,1,2,3,82
다사548431,0,6,10,3100.846154,2,8,2,82
다사587432,0,116,1,0,2,0,2,83
다사565428,0,51,2,1242.904762,2,3,1,83
다사574430,0,6,3,0,2,1,13,83
다사645433,0,0,1,0,1,2,1,83
다사659420,0,0,5,0,0,0,0,83
다사659421,0,0,3,0,0,0,0,83
다사644433,0,0,2,0,0,0,0,83
다사650418,0,308,8,2859.244194,0,4,12,84
다사577428,0,102,3,0,1,1,5,84
다사651418,0,0,5,2402.966667,0,0,0,84
다사651419,0,0,3,0,0,1,0,84
다사587456,0,72,4,0,3,3,3,85
다사594431,0,64,1,722.8611111,0,0,0,85
다사597457,0,64,6,0,4,5,5,85
다사596460,0,50,3,652.375,4,4,5,85
다사587454,0,37,5,0,3,3,11,85
다사587455,0,28,2,2115.632653,2,3,12,85
다사588454,0,0,7,780.8333333,3,8,3,85
다사596457,0,0,10,271.3333333,1,3,9,85
다사609451,0,99,3,0,0,2,4,86
다사581441,0,49,2,0,1,1,14,86
다사609450,0,36,1,1042.625,0,0,2,86
다사609449,0,27,8,538.6111111,3,4,6,86
다사624437,0,0,4,2260,6,7,13,86
다사650428,0,0,2,535,0,0,0,86
다사653419,0,0,4,490.8108108,0,0,0,86
다사581442,0,0,1,0,1,7,7,86
다사613424,0,0,5,0,0,0,0,86
다사650430,0,0,4,0,0,0,0,86
다사574428,0,197,2,0,3,2,4,87
다사610395,0,158,5,0,0,1,0,87
다사578400,0,90,1,0,0,1,0,87
다사610396,0,70,6,1953,2,2,1,87
다사562434,0,23,3,540.6666667,0,0,0,87
다사561434,0,0,3,445.6666667,0,0,0,87
다사605391,0,0,7,0,0,0,0,87
다사631429,0,129,8,171.9166667,3,1,0,88
다사555434,0,107,1,0,2,5,1,88
다사573454,0,73,1,0,1,2,0,88
다사630429,0,72,1,0,0,0,0,88
다사568428,0,26,8,0,2,1,7,88
다사600452,0,0,4,2721.783333,9,13,21,88
다사570439,0,0,12,444.5416667,1,4,2,88
다사600451,0,0,5,0,11,9,11,88
다사556429,0,58,2,0,0,1,0,89
다사566431,0,0,4,0,4,2,3,89
다사642437,0,0,1,0,0,0,0,89
다사600459,0,101,2,0,6,3,6,90
다사555428,0,93,2,0,1,2,2,90
다사599458,0,44,1,665.1666667,0,1,13,90
다사600458,0,32,2,718.9166667,4,2,4,90
다사576402,0,0,3,0,0,0,0,90
다사590457,0,91,2,0,8,6,4,91
다사590458,0,0,2,1279.333333,0,1,0,91
다사591456,0,0,1,0,3,1,12,91
다사595408,0,0,6,0,0,0,1,91
다사611426,0,0,4,798.4444444,0,0,0,92
다사584428,0,0,8,752.9583333,1,2,8,92
다사570449,0,109,8,24.875,0,0,0,93
다사578446,0,64,4,400.5833333,7,25,11,93
다사569449,0,0,7,351.5,0,2,1,93
다사574398,0,111,2,0,0,0,0,94
다사612442,0,6,2,553.4814815,0,5,2,94
다사571429,0,0,2,3554.690476,4,1,5,94
다사609444,0,13,3,0,2,1,4,95
다사631431,0,0,10,949.7083333,0,0,0,95
다사599401,0,0,3,0,0,2,1,96
다사562435,0,83,4,0,1,4,24,99
다사629436,0,7,10,2767.75,2,4,4,99
다사567428,0,0,8,0,0,5,1,99
다사589440,0,51,3,0,7,5,8,100
다사579407,0,0,2,0,0,0,0,100
다사602449,0,53,6,1420.805556,7,11,33,101
다사647435,0,23,2,0,0,0,0,101
다사594424,0,11,2,489.5416667,1,4,6,101
다사593447,0,7,1,0,7,4,11,102
다사581433,0,0,2,834.125,0,0,0,102
다사598404,0,0,3,0,0,4,0,102
다사605434,0,657,1,0,6,9,47,103
다사594438,0,60,3,1214.133333,2,3,9,103
다사593438,0,39,2,0,2,9,6,103
다사593439,0,33,4,0,1,5,3,103
다사593437,0,13,3,0,4,10,17,103
다사594437,0,0,5,0,1,1,2,103
다사606435,0,0,4,0,0,0,0,103
다사584436,0,214,2,0,7,4,9,104
다사604395,0,0,2,0,0,0,0,104
다사603432,0,255,7,0,29,16,17,105
다사602433,0,153,9,0,22,38,28,105
다사551434,0,66,4,1490.25,0,7,8,106
다사551435,0,17,5,0,4,7,12,106
다사609396,0,94,1,0,0,0,0,107
다사572457,0,7,2,0,2,0,0,107
다사589449,0,0,1,0,3,2,7,107
다사572456,0,0,2,0,0,1,0,107
다사600417,0,7,4,3537.219246,6,10,5,108
다사600417,0,6,4,3537.219246,6,10,5,108
다사589405,0,0,9,0,0,2,7,108
다사562433,0,94,1,0,0,0,0,109
다사561446,0,0,7,764.6666667,0,0,0,109
다사601403,0,0,4,381.4439891,0,0,0,109
다사614451,0,44,4,0,2,4,9,110
다사603460,0,28,2,1801.722222,2,5,0,110
다사615451,0,0,11,0,0,0,1,110
다사556440,0,0,2,0,0,0,0,110
다사572445,0,117,1,0,0,0,0,111
다사545432,0,100,7,0,9,9,24,111
다사545431,0,98,3,0,8,13,11,111
다사578456,0,59,2,0,6,9,46,111
다사652418,0,28,3,0,0,0,1,111
다사545430,0,10,9,191.8888889,2,2,8,111
다사573449,0,283,3,0,0,0,0,112
다사573450,0,75,1,0,0,0,0,112
다사578444,0,64,16,0,0,0,0,112
다사572449,0,31,1,0,0,0,0,112
다사572450,0,31,1,0,0,0,0,112
다사556442,0,29,6,1497.583333,3,9,10,112
다사579443,0,0,9,743.8819444,9,3,6,112
다사606441,0,76,1,0,0,1,2,113
다사635436,0,65,6,3878.25,1,2,7,113
다사606442,0,39,8,0,3,1,2,113
다사584413,0,0,2,98.97222222,0,0,0,113
다사553439,0,91,1,0,2,2,2,114
다사611445,0,7,6,0,0,3,6,114
다사611444,0,0,3,0,1,10,3,114
다사612444,1,0,4,0,1,4,9,114
다사562442,0,0,1,0,0,0,0,114
다사597465,0,119,2,0,0,0,0,115
