,gid,2030val
974,다사597434,0.0
975,다사646402,32.0
976,다사632438,116.0
977,다사641418,57.0
978,다사601463,120.0
979,다사649405,81.0
980,다사593459,19.0
981,다사590466,150.0
982,다사604459,192.0
983,다사642410,39.0
984,다사594464,128.0
985,다사646434,155.0
986,다사610440,112.0
987,다사649416,263.0
988,다사611440,128.0
989,다사579478,71.0
990,다사597473,0.0
991,다사598433,44.0
992,다사601464,283.0
993,다사643409,0.0
994,다사590437,124.0
995,다사638437,152.0
996,다사651413,28.0
997,다사605455,75.0
998,다사646424,0.0
999,다사646433,44.0
1000,다사598476,0.0
1001,다사605428,148.0
1002,다사592459,46.0
1003,다사603443,40.0
1004,다사595479,63.0
1005,다사601428,30.0
1006,다사602445,132.0
1007,다사611464,44.0
1008,다사586457,21.0
1009,다사591468,125.0
1010,다사607457,32.0
1011,다사594433,138.0
1012,다사638424,57.0
1013,다사603468,86.0
1014,다사595461,6.0
1015,다사626425,90.0
1016,다사648410,62.0
1017,다사655418,109.0
1018,다사591467,46.0
1019,다사607449,134.0
1020,다사599464,69.0
1021,다사603467,31.0
1022,다사608472,162.0
1023,다사632435,138.0
1024,다사625426,45.0
1025,다사608438,29.0
1026,다사606467,28.0
1027,다사581449,27.0
1028,다사630428,165.0
1029,다사639413,25.0
1030,다사598445,75.0
1031,다사646418,0.0
1032,다사603462,101.0
1033,다사614451,44.0
1034,다사588456,165.0
1035,다사590439,250.0
1036,다사610441,77.0
1037,다사586450,29.0
1038,다사590460,46.0
1039,다사582448,60.0
1040,다사581448,0.0
1041,다사614426,85.0
1042,다사628437,193.0
1043,다사650433,121.0
1044,다사613433,124.0
1045,다사603451,117.0
1046,다사647401,77.0
1047,다사580458,173.0
1048,다사591477,18.0
1049,다사606466,45.0
1050,다사584473,19.0
1051,다사597462,79.0
1052,다사632436,126.0
1053,다사643429,118.0
1054,다사593462,78.0
1055,다사602473,0.0
1056,다사594454,115.0
1057,다사586447,119.0
1058,다사580469,158.0
1059,다사588443,126.0
1060,다사600470,131.0
1061,다사601418,99.0
1062,다사606448,74.0
1063,다사631429,129.0
1064,다사634438,78.0
1065,다사595435,108.0
1066,다사593465,33.0
1067,다사619433,114.0
1068,다사583459,163.0
1069,다사577466,45.0
1070,다사585459,99.0
1071,다사606418,60.0
1072,다사581451,47.0
1073,다사598427,85.0
1074,다사598463,97.0
1075,다사599431,0.0
1076,다사604461,112.0
1077,다사604476,204.0
1078,다사578476,110.0
1079,다사614448,73.0
1080,다사634427,32.0
1081,다사595436,78.0
1082,다사604450,151.0
1083,다사614464,121.0
1084,다사648424,12.0
1085,다사615443,100.0
1086,다사590477,0.0
1087,다사581482,125.0
1088,다사589444,123.0
1089,다사640424,53.0
1090,다사578478,53.0
1091,다사599421,149.0
1092,다사603434,135.0
1093,다사598439,63.0
1094,다사652414,7.0
1095,다사600439,200.0
1096,다사600423,94.0
1097,다사605473,0.0
1098,다사633436,121.0
1099,다사586453,13.0
1100,다사601458,112.0
1101,다사605468,65.0
1102,다사592478,123.0
1103,다사626427,39.0
1104,다사579477,79.0
1105,다사602439,81.0
1106,다사604422,23.0
1107,다사619426,28.0
1108,다사647402,135.0
1109,다사594447,457.0
1110,다사591431,30.0
1111,다사620433,168.0
1112,다사591464,0.0
1113,다사597475,0.0
1114,다사629426,90.0
1115,다사641415,66.0
1116,다사605424,26.0
1117,다사590443,67.0
1118,다사626428,22.0
1119,다사590456,64.0
1120,다사629436,7.0
1121,다사606447,153.0
