,gid,COUNT
1237,다사563426,29
1238,다사563427,23
1239,다사563428,23
1240,다사563429,45
1241,다사563430,22
1242,다사563431,22
1243,다사563432,22
1244,다사563433,76
1245,다사563434,54
1246,다사563435,54
1247,다사563436,118
1248,다사563437,64
1249,다사563438,64
1250,다사563439,64
1251,다사563440,119
1252,다사563441,55
1253,다사563442,55
1254,다사563443,114
1255,다사563444,59
1256,다사563445,59
1257,다사563446,59
1258,다사563447,154
1259,다사563448,95
1260,다사563449,95
1261,다사563450,238
1262,다사563451,143
1263,다사563452,143
1264,다사563453,143
1265,다사563454,689
1266,다사563455,198
1267,다사563456,198
1268,다사563457,802
1269,다사563458,274
1270,다사563459,274
1271,다사563460,810
1272,다사563461,1285
1273,다사563462,475
1274,다사563463,475
1275,다사563464,1365
1276,다사563465,483
1277,다사563466,483
1278,다사563467,884
1279,다사563468,401
1280,다사563469,187
1281,다사563470,187
1282,다사563471,742
1283,다사563472,175
1284,다사564401,0
1285,다사564402,0
1286,다사564403,0
1287,다사564404,0
1288,다사564405,0
1289,다사564406,0
1290,다사564407,0
1291,다사564408,1
1292,다사564409,2
1293,다사564410,1
1294,다사564411,1
1295,다사564412,3
1296,다사564413,1
1297,다사564414,1
1298,다사564415,2
1299,다사564416,3
1300,다사564417,1
1301,다사564418,1
1302,다사564419,15
1303,다사564420,10
1304,다사564421,10
1305,다사564422,26
1306,다사564423,16
1307,다사564424,6
1308,다사564425,6
1309,다사564426,40
1310,다사564427,23
1311,다사564428,23
1312,다사564429,94
1313,다사564430,71
1314,다사564431,22
1315,다사564432,22
1316,다사564433,116
1317,다사564434,54
1318,다사564435,54
1319,다사564436,189
1320,다사564437,64
1321,다사564438,64
1322,다사564439,64
1323,다사564440,176
1324,다사564441,55
1325,다사564442,55
1326,다사564443,157
1327,다사564444,59
1328,다사564445,59
1329,다사564446,59
1330,다사564447,222
1331,다사564448,95
1332,다사564449,95
1333,다사564450,357
1334,다사564451,143
1335,다사564452,143
1336,다사564453,143
1337,다사564454,341
1338,다사564455,198
1339,다사564456,198
1340,다사564457,472
1341,다사564458,274
1342,다사564459,274
1343,다사564460,274
1344,다사564461,749
1345,다사564462,475
1346,다사564463,475
1347,다사564464,958
1348,다사564465,483
1349,다사564466,483
1350,다사564467,670
1351,다사564468,187
